Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2577,2043,999,49415.699219,0.020216
2,1000,0.2,0.2,50.0,1000,2614,2107,999,50346.738281,0.019842
3,1000,0.2,0.2,50.0,1000,2619,2117,999,49233.171875,0.020291
4,1000,0.2,0.2,50.0,1000,2522,2000,998,49996.554688,0.019961
5,1000,0.2,0.2,50.0,1000,2558,2071,999,49239.847656,0.020288
6,1000,0.2,0.2,50.0,1000,2569,2090,999,51788.871094,0.019290
7,1000,0.2,0.2,50.0,1000,2634,2091,998,48952.527344,0.020387
8,1000,0.2,0.2,50.0,1000,2584,2101,999,50501.257812,0.019782
9,1000,0.2,0.2,50.0,1000,2695,2122,999,49575.976562,0.020151
10,1000,0.2,0.2,50.0,1000,2528,2034,999,49484.156250,0.020188
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4202,2545,999,49035.285156,0.020373
2,1000,0.4,0.2,50.0,1000,19183,8831,119,49284.816406,0.002415
3,1000,0.4,0.2,50.0,1000,4253,2545,999,50764.203125,0.019679
4,1000,0.4,0.2,50.0,1000,3877,2336,999,49741.640625,0.020084
5,1000,0.4,0.2,50.0,1000,4115,2459,997,49593.714844,0.020103
6,1000,0.4,0.2,50.0,1000,4008,2402,995,50966.824219,0.019523
7,1000,0.4,0.2,50.0,1000,4096,2473,999,49380.789062,0.020231
8,1000,0.4,0.2,50.0,1000,4014,2431,999,49171.863281,0.020316
9,1000,0.4,0.2,50.0,1000,19071,5947,542,49425.539062,0.010966
10,1000,0.4,0.2,50.0,1000,4069,2468,998,49585.296875,0.020127
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,20813,7154,411,50076.121094,0.008208
2,1000,0.6,0.2,50.0,1000,9776,3712,985,49476.925781,0.019908
3,1000,0.6,0.2,50.0,1000,14151,5650,570,48943.378906,0.011646
4,1000,0.6,0.2,50.0,1000,7536,3056,998,50335.898438,0.019827
5,1000,0.6,0.2,50.0,1000,14255,4901,801,50110.296875,0.015985
6,1000,0.6,0.2,50.0,1000,2363,932,231,50150.082031,0.004606
7,1000,0.6,0.2,50.0,1000,8695,3495,997,49920.109375,0.019972
8,1000,0.6,0.2,50.0,1000,26835,7820,377,51347.558594,0.007342
9,1000,0.6,0.2,50.0,1000,16139,5165,758,49337.375000,0.015364
10,1000,0.6,0.2,50.0,1000,12308,4352,885,50589.765625,0.017494
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,13036,2625,281,52256.042969,0.005377
2,1000,0.8,0.2,50.0,1000,12975,2585,235,50613.390625,0.004643
3,1000,0.8,0.2,50.0,1000,12879,2549,252,50108.167969,0.005029
4,1000,0.8,0.2,50.0,1000,12554,2571,229,49860.792969,0.004593
5,1000,0.8,0.2,50.0,1000,13158,2610,230,51125.328125,0.004499
6,1000,0.8,0.2,50.0,1000,13778,2811,269,49801.777344,0.005401
7,1000,0.8,0.2,50.0,1000,12528,2475,229,49648.320312,0.004612
8,1000,0.8,0.2,50.0,1000,12574,2523,249,50428.628906,0.004938
9,1000,0.8,0.2,50.0,1000,12855,2596,242,50574.410156,0.004785
10,1000,0.8,0.2,50.0,1000,13156,2621,254,51229.148438,0.004958
