Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2577,2043,999,49415.699219,0.020216
2,1000,0.2,0.2,50.0,1000,2614,2107,999,50346.738281,0.019842
3,1000,0.2,0.2,50.0,1000,2619,2117,999,49233.171875,0.020291
4,1000,0.2,0.2,50.0,1000,2522,2000,998,49996.554688,0.019961
5,1000,0.2,0.2,50.0,1000,2558,2071,999,49239.847656,0.020288
6,1000,0.2,0.2,50.0,1000,2569,2090,999,51788.871094,0.019290
7,1000,0.2,0.2,50.0,1000,2634,2091,998,48952.527344,0.020387
8,1000,0.2,0.2,50.0,1000,2584,2101,999,50501.257812,0.019782
9,1000,0.2,0.2,50.0,1000,2695,2122,999,49575.976562,0.020151
10,1000,0.2,0.2,50.0,1000,2528,2034,999,49484.156250,0.020188
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2419,1946,999,47521.406250,0.021022
2,1000,0.2,0.2,50.0,1000,2438,1954,999,49732.972656,0.020087
3,1000,0.2,0.2,50.0,1000,2434,1962,999,49125.695312,0.020336
4,1000,0.2,0.2,50.0,1000,2467,1994,999,51770.675781,0.019297
5,1000,0.2,0.2,50.0,1000,2417,1953,999,50609.015625,0.019740
6,1000,0.2,0.2,50.0,1000,2489,2008,999,51727.144531,0.019313
7,1000,0.2,0.2,50.0,1000,2524,1993,998,49654.496094,0.020099
8,1000,0.2,0.2,50.0,1000,2348,1914,999,50737.648438,0.019690
9,1000,0.2,0.2,50.0,1000,2526,1994,999,48972.722656,0.020399
10,1000,0.2,0.2,50.0,1000,2373,1902,999,50031.503906,0.019967
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4202,2545,999,49035.285156,0.020373
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,10.0,1000,1854,385,52,10210.223633,0.005093
2,1000,0.8,0.2,10.0,1000,1405,293,35,10131.576172,0.003455
3,1000,0.8,0.2,10.0,1000,1369,267,41,10103.157227,0.004058
4,1000,0.8,0.2,10.0,1000,1481,309,53,9916.692383,0.005345
5,1000,0.8,0.2,10.0,1000,1772,345,48,10056.792969,0.004773
6,1000,0.8,0.2,10.0,1000,1680,359,61,9997.308594,0.006102
7,1000,0.8,0.2,10.0,1000,1539,295,52,9986.893555,0.005207
8,1000,0.8,0.2,10.0,1000,1385,281,34,9975.533203,0.003408
9,1000,0.8,0.2,10.0,1000,1688,340,47,9722.714844,0.004834
10,1000,0.8,0.2,10.0,1000,1877,365,48,10054.172852,0.004774
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,10.0,1000,6949,1299,155,10233.732422,0.015146
2,1000,0.8,0.2,10.0,1000,6820,1312,152,9795.740234,0.015517
3,1000,0.8,0.2,10.0,1000,6292,1285,117,10002.773438,0.011697
4,1000,0.8,0.2,10.0,1000,6555,1369,162,9694.857422,0.016710
5,1000,0.8,0.2,10.0,1000,6844,1384,138,10053.795898,0.013726
6,1000,0.8,0.2,10.0,1000,6739,1342,175,10317.605469,0.016961
